,VGS,L,W,ID_NMOS,ID_PMOS,gm_NMOS,gm_PMOS,gds_NMOS,gds_PMOS,Vov_NMOS,Vstar_NMOS,Vov_PMOS,Vstar_PMOS
202,0.19,1e-06,5e-06,3.141767e-09,-1.131391e-09,8.431255e-08,2.923805e-08,6.790309e-10,1.505663e-10,-0.214313,0.07452667,0.2208661,-0.07739166
203,0.2,1e-06,5e-06,4.106919e-09,-1.464351e-09,1.098187e-07,3.77053e-08,8.852183e-10,1.948442e-10,-0.204313,0.07479455,0.2108661,-0.07767348
204,0.21,1e-06,5e-06,5.363143e-09,-1.893436e-09,1.428407e-07,4.855882e-08,1.152483e-09,2.518834e-10,-0.194313,0.07509263,0.2008661,-0.07798525
205,0.22,1e-06,5e-06,6.995828e-09,-2.445618e-09,1.855099e-07,6.244517e-08,1.498261e-09,3.252502e-10,-0.184313,0.07542269,0.1908661,-0.0783285
206,0.23,1e-06,5e-06,9.114434e-09,-3.155135e-09,2.405306e-07,8.017693e-08,1.944705e-09,4.194625e-10,-0.174313,0.07578608,0.1808661,-0.0787043
207,0.24,1e-06,5e-06,1.185892e-08,-4.065343e-09,3.11325e-07,1.027729e-07,2.519873e-09,5.402267e-10,-0.164313,0.07618353,0.1708661,-0.0791131
208,0.25,1e-06,5e-06,1.540779e-08,-5.231021e-09,4.022136e-07,1.315078e-07,3.259199e-09,6.947286e-10,-0.154313,0.07661496,0.1608661,-0.07955456
209,0.26,1e-06,5e-06,1.998816e-08,-6.721223e-09,5.186394e-07,1.679732e-07,4.207294e-09,8.919886e-10,-0.144313,0.07707922,0.1508661,-0.08002735
210,0.27,1e-06,5e-06,2.588833e-08,-8.622815e-09,6.674498e-07,2.141543e-07,5.420181e-09,1.143294e-09,-0.134313,0.07757387,0.1408661,-0.08052901
211,0.28,1e-06,5e-06,3.347355e-08,-1.104487e-08,8.572507e-07,2.725249e-07,6.968045e-09,1.462726e-09,-0.124313,0.07809512,0.1308661,-0.08105587
212,0.29,1e-06,5e-06,4.320572e-08,-1.412413e-08,1.098854e-06,3.461665e-07,8.938631e-09,1.867789e-09,-0.114313,0.07863775,0.1208661,-0.08160312
213,0.3,1e-06,5e-06,5.56682e-08,-1.803179e-08,1.405844e-06,4.389158e-07,1.144142e-08,2.380185e-09,-0.104313,0.07919544,0.1108661,-0.08216514
214,0.31,1e-06,5e-06,7.159693e-08,-2.298193e-08,1.79528e-06,5.555482e-07,1.461271e-08,3.026717e-09,-0.094313,0.07976129,0.1008661,-0.08273604
215,0.32,1e-06,5e-06,9.191941e-08,-2.924198e-08,2.288578e-06,7.019984e-07,1.862179e-08,3.84038e-09,-0.084313,0.08032885,0.09086608,-0.08331069
216,0.33,1e-06,5e-06,1.178033e-07,-3.714561e-08,2.91255e-06,8.856208e-07,2.367804e-08,4.861617e-09,-0.074313,0.0808936,0.08086608,-0.08388603
217,0.34,1e-06,5e-06,1.507165e-07,-4.710829e-08,3.700617e-06,1.11548e-06,3.003895e-08,6.139756e-09,-0.064313,0.08145481,0.07086608,-0.08446278
218,0.35,1e-06,5e-06,1.924994e-07,-5.964599e-08,4.694095e-06,1.402655e-06,3.801852e-08,7.734573e-09,-0.054313,0.08201766,0.06086608,-0.08504725
219,0.36,1e-06,5e-06,2.454502e-07,-7.539671e-08,5.943453e-06,1.760515e-06,4.799498e-08,9.717903e-09,-0.044313,0.08259515,0.05086608,-0.08565302
220,0.37,1e-06,5e-06,3.124222e-07,-9.514444e-08,7.50929e-06,2.204916e-06,6.041651e-08,1.217515e-08,-0.034313,0.08320951,0.04086609,-0.08630211
221,0.38,1e-06,5e-06,3.969269e-07,-1.198444e-07,9.462736e-06,2.754243e-06,7.580278e-08,1.520644e-08,-0.024313,0.08389263,0.03086609,-0.08702534
222,0.39,1e-06,5e-06,5.032384e-07,-1.506478e-07,1.188492e-05,3.429205e-06,9.474012e-08,1.892716e-08,-0.014313,0.08468523,0.0208661,-0.08786163
223,0.4,1e-06,5e-06,6.364846e-07,-1.889221e-07,1.486507e-05,4.252306e-06,1.178678e-07,2.34674e-08,-0.004312998,0.08563492,0.0108661,-0.08885631
224,0.41,1e-06,5e-06,8.027127e-07,-2.362654e-07,1.84971e-05,5.246922e-06,1.458542e-07,2.897015e-08,0.005687002,0.08679336,0.0008661093,-0.09005867
225,0.42,1e-06,5e-06,1.008912e-06,-2.945086e-07,2.287441e-05,6.435995e-06,1.79362e-07,3.558774e-08,0.015687,0.08821313,-0.009133881,-0.0915192
226,0.43,1e-06,5e-06,1.262975e-06,-3.657029e-07,2.808332e-05,7.840392e-06,2.190048e-07,4.347665e-08,0.025687,0.08994481,-0.01913387,-0.09328691
227,0.44,1e-06,5e-06,1.573592e-06,-4.520905e-07,3.419564e-05,9.477078e-06,2.65299e-07,5.279073e-08,0.035687,0.09203465,-0.02913386,-0.09540716
228,0.45,1e-06,5e-06,1.950068e-06,-5.56056e-07,4.126119e-05,1.135733e-05,3.186161e-07,6.367349e-08,0.045687,0.09452309,-0.03913384,-0.09792022
229,0.46,1e-06,5e-06,2.402068e-06,-6.800618e-07,4.930152e-05,1.348522e-05,3.791429e-07,7.625e-08,0.055687,0.09744399,-0.04913382,-0.1008604
230,0.47,1e-06,5e-06,2.939314e-06,-8.265706e-07,5.830557e-05,1.585661e-05,4.468554e-07,9.061955e-08,0.065687,0.1008245,-0.0591338,-0.1042556
231,0.48,1e-06,5e-06,3.571246e-06,-9.979613e-07,6.822833e-05,1.845889e-05,5.215104e-07,1.068497e-07,0.075687,0.1046851,-0.06913377,-0.108128
232,0.49,1e-06,5e-06,4.306689e-06,-1.196445e-06,7.899252e-05,2.127135e-05,6.026579e-07,1.249728e-07,0.085687,0.1090404,-0.07913374,-0.1124936
233,0.5,1e-06,5e-06,5.153554e-06,-1.423992e-06,9.049332e-05,2.42664e-05,6.896708e-07,1.449844e-07,0.095687,0.1138991,-0.0891337,-0.1173632
234,0.51,1e-06,5e-06,6.118593e-06,-1.682266e-06,0.0001026053,2.741128e-05,7.817894e-07,1.668456e-07,0.105687,0.1192646,-0.09913366,-0.1227426
235,0.52,1e-06,5e-06,7.207239e-06,-1.972587e-06,0.000115191,3.067007e-05,8.781741e-07,1.904856e-07,0.115687,0.1251355,-0.1091336,-0.1286327
236,0.53,1e-06,5e-06,8.423521e-06,-2.295912e-06,0.0001281092,3.40059e-05,9.779594e-07,2.158081e-07,0.125687,0.1315054,-0.1191336,-0.1350302
237,0.54,1e-06,5e-06,9.770073e-06,-2.652827e-06,0.0001412231,3.738289e-05,1.080304e-06,2.426971e-07,0.135687,0.1383636,-0.1291335,-0.1419274
238,0.55,1e-06,5e-06,1.124822e-05,-3.043578e-06,0.0001544073,4.076786e-05,1.184433e-06,2.710234e-07,0.145687,0.1456954,-0.1391334,-0.1493126
